attribute_x,attribute_y,n,correlation,p_value,label_x,label_y,label_text
paragraph_formality,paragraph_formality,75972,1,0,paragraph_formality,paragraph_formality,1.00
paragraph_formality,paragraph_clarity,75972,0.44061172315794706,0,paragraph_formality,paragraph_clarity,0.44
paragraph_formality,paragraph_informativeness,75972,0.6608651342970868,0,paragraph_formality,paragraph_informativeness,0.66
paragraph_formality,paragraph_originality,75972,0.4466037910915105,0,paragraph_formality,paragraph_originality,0.45
paragraph_formality,paragraph_relevance,75972,0.407324564762293,0,paragraph_formality,paragraph_relevance,0.41
paragraph_formality,writer_knowledge,75972,0.5909349005510312,0,paragraph_formality,writer_knowledge,0.59
paragraph_formality,writer_importance,75972,0.3925198518848592,0,paragraph_formality,writer_importance,0.39
paragraph_formality,writer_confidence,75972,0.3581198179883318,0,paragraph_formality,writer_confidence,0.36
paragraph_formality,writer_stance_polarity,75972,0.14185665972890357,0,paragraph_formality,writer_stance_polarity,0.14
paragraph_formality,paragraph_hope,75972,0.26822732172674735,0,paragraph_formality,paragraph_hope,0.27
paragraph_formality,paragraph_excitement,75972,0.16751141949762496,0,paragraph_formality,paragraph_excitement,0.17
paragraph_formality,paragraph_fear,75972,0.02468329177590039,1.0148182104484512e-11,paragraph_formality,paragraph_fear,0.02
paragraph_formality,paragraph_disgust,75972,-0.04925907382855897,4.8944703025196864e-42,paragraph_formality,paragraph_disgust,-0.05
paragraph_formality,paragraph_anger,75972,-0.0460886765699641,5.20509161125419e-37,paragraph_formality,paragraph_anger,-0.05
paragraph_formality,writer_affect_x,75972,0.1209198292780031,2.4550013157317396e-245,paragraph_formality,writer_affect_x,0.12
paragraph_formality,writer_affect_y,75972,-0.1089102443874362,3.8016447156684166e-199,paragraph_formality,writer_affect_y,-0.11
paragraph_formality,writer_optimism,75972,0.2932819406118263,0,paragraph_formality,writer_optimism,0.29
paragraph_formality,writer_community,75972,0.2582095130834617,0,paragraph_formality,writer_community,0.26
paragraph_formality,writer_friendliness,75972,0.20511933089690937,0,paragraph_formality,writer_friendliness,0.21
paragraph_formality,writer_openness,75972,0.014987755226787004,3.60808768990464e-5,paragraph_formality,writer_openness,0.01
paragraph_clarity,paragraph_formality,75972,0.44061172315794706,0,paragraph_clarity,paragraph_formality,0.44
paragraph_clarity,paragraph_clarity,75972,1,0,paragraph_clarity,paragraph_clarity,1.00
paragraph_clarity,paragraph_informativeness,75972,0.4738932687946569,0,paragraph_clarity,paragraph_informativeness,0.47
