term,target_level,reference_level,odds_ratio,or_low,or_high,statistic,p,p_value
model_anthropic/claude-sonnet-4,Moderately Left-Wing,Centrist,0.9858577447784732,0.9389359425616263,1.035124388025977,-0.572476151153168,0.5669994383215182,0.5669994383215182
model_anthropic/claude-sonnet-4,Moderately Right-Wing,Centrist,1.0403968250726099,0.9861719110495099,1.0976033098217342,1.4501209017563579,0.14702480737368923,0.14702480737368923
model_anthropic/claude-sonnet-4,Other,Centrist,0.6503077996835115,0.595730977731426,0.7098845790085246,-9.62171210610252,6.474439315667e-22,6.474439315667e-22
model_anthropic/claude-sonnet-4,Very Left-Wing,Centrist,1.0864331103489584,1.0176025809511584,1.159919329370455,2.482546343271152,0.013044709849719413,0.013044709849719413
model_anthropic/claude-sonnet-4,Very Right-Wing,Centrist,0.8841871386427277,0.8119144002154471,0.9628932507340202,-2.8291171536592516,0.0046676608951068035,0.0046676608951068035
model_deepseek/deepseek-chat-v3-0324,Moderately Left-Wing,Centrist,0.9777092020035569,0.93160446615049,1.0260956429635826,-0.9147132195300881,0.36034220257465654,0.36034220257465654
model_deepseek/deepseek-chat-v3-0324,Moderately Right-Wing,Centrist,0.9605318744078878,0.9101485350723225,1.0137042979256312,-1.464856051491581,0.14296019546681188,0.14296019546681188
model_deepseek/deepseek-chat-v3-0324,Other,Centrist,0.5779839408023937,0.5280946830219934,0.6325862512263776,-11.90300384928647,1.1416251742697366e-32,1.1416251742697366e-32
model_deepseek/deepseek-chat-v3-0324,Very Left-Wing,Centrist,1.0559575699460453,0.9892742971630989,1.1271357122326233,1.6359865399870963,0.10184240445934334,0.10184240445934334
model_deepseek/deepseek-chat-v3-0324,Very Right-Wing,Centrist,0.8625564463656256,0.7922780389399233,0.9390688452785859,-3.4098284092576727,6.500376327334236e-4,6.500376327334236e-4
model_openai/chatgpt-4o-latest,Moderately Left-Wing,Centrist,1.035884665885074,0.9871939173473765,1.086976957778642,1.4352885275469127,0.15120489559331543,0.15120489559331543
model_openai/chatgpt-4o-latest,Moderately Right-Wing,Centrist,0.9760190963738318,0.9246344072138615,1.0302593858223776,-0.8796606684918603,0.379043162358934,0.379043162358934
model_openai/chatgpt-4o-latest,Other,Centrist,0.6367683673136658,0.5831588967732824,0.6953061264346102,-10.05892317923506,8.391110486457378e-24,8.391110486457378e-24
model_openai/chatgpt-4o-latest,Very Left-Wing,Centrist,1.1086571549578155,1.0390236051972592,1.1829574237688358,3.1166798782568903,0.0018290006134573707,0.0018290006134573707
model_openai/chatgpt-4o-latest,Very Right-Wing,Centrist,0.7859049577378971,0.7194880136990509,0.8584529426995521,-5.347943883678977,8.895903595703863e-8,8.895903595703863e-8
