proposition_id,proposition,issue_knowledge_mean,issue_importance_mean,confidence_in_opinion_mean,stance_mean,stance_sd
12,The UK should implement policies to limit the influence of woke culture in public institutions.,56.13333333333333,61.08888888888889,69.04444444444445,44.355555555555554,34.28367989394818
18,The UK should impose economic sanctions on Israel in response to the 2023 invasion of Gaza.,62.422222222222224,70.35555555555555,71.4,68.6,33.07182266742271
20,The UK should mandate COVID-19 vaccinations for all eligible citizens.,64.71111111111111,72.02222222222223,74.02222222222223,38.44444444444444,33.968940061310256
22,The UK should ban internet use for under-14-year-olds.,65.15555555555555,69.08888888888889,82.11111111111111,38.15555555555556,35.42274279429399
25,The UK should seek to rejoin the European Union.,66.27272727272727,75.6590909090909,75.88636363636364,65.61363636363636,33.96113778265681
37,The UK should legalise marijuana for recreational use.,59.68888888888889,55.86666666666667,73.55555555555556,50.6,35.76399916625147
38,The UK should loosen regulations on the import and distribution of international pharmaceuticals.,42.577777777777776,52.93333333333333,58.333333333333336,46.13333333333333,28.58766421823485
40,The UK should legalise euthanasia.,55.869565217391305,61.78260869565217,71.26086956521739,61.45652173913044,26.377352677998548
41,The UK should remove restrictions on genetic engineering.,40.77777777777778,50.48888888888889,59.68888888888889,41.77777777777778,29.093805095750106
46,The UK should implement stricter animal rights laws.,58.52173913043478,68.19565217391305,72.95652173913044,70.30434782608695,24.74749779963613
47,The UK should ban the consumption of meat.,62.2,69.86666666666666,76.73333333333333,24.68888888888889,28.573527339942906
51,The UK should increase taxes on sugary drinks.,58.24444444444445,56.08888888888889,72.53333333333333,46.044444444444444,30.602997146414182
52,The UK should legalise internet piracy.,57.24444444444445,57.111111111111114,69.22222222222223,26.755555555555556,27.902554099087872
54,The UK should implement stricter regulations on the sale of violent video games to minors.,56.355555555555554,52.955555555555556,70.24444444444444,62.24444444444445,31.091620879087166
61,The UK should reintroduce the death penalty.,54.955555555555556,63.53333333333333,77.75555555555556,27.444444444444443,32.0003945682745
67,The UK should mandate companies to offer paid parental leave for all new parents.,57.15555555555556,51.355555555555554,75.75555555555556,76.15555555555555,26.536386302203958
68,The UK should make abortion illegal.,63.55555555555556,74.33333333333333,83.13333333333334,12.333333333333334,23.981053127227522
81,The UK should implement stricter regulations on the production and distribution of pornography.,56.82222222222222,59.422222222222224,80.15555555555555,66.4888888888889,30.553695076508873
82,The UK should fully decriminalise prostitution.,39.80434782608695,45.95652173913044,59.56521739130435,50.47826086956522,28.529703141684756
85,The UK should significantly reduce immigration levels.,63.022222222222226,70.8,73.68888888888888,47.28888888888889,31.51235127419537
87,"The UK should mandate the implementation of ESG (Environmental, Social, and Governance) policies for all publicly traded companies.",46.34090909090909,59.68181818181818,59.22727272727273,70.20454545454545,23.51800848380656
88,The UK should significantly increase its foreign aid budget for combating global hunger.,56.08695652173913,63.76086956521739,69.43478260869566,42.95652173913044,30.54538082681361
89,The UK should implement policies to incentivise higher birth rates.,51.17777777777778,55.86666666666667,64.46666666666667,34.044444444444444,28.11175389531409
99,The UK should increase financial incentives for couples to get married.,45.38636363636363,44.97727272727273,71.0,31.272727272727273,27.13734544811636
102,The UK should allow transgender women to compete in women's sports.,51.70454545454545,51.09090909090909,64.29545454545455,19.34090909090909,25.39634031666601
104,The UK should ban the use of gender-inclusive language in all public sector communications.,56.955555555555556,53.0,71.8,43.333333333333336,30.282007859453444
109,The UK should make same-sex marriage illegal.,63.75555555555555,64.35555555555555,89.42222222222222,22.2,34.45524105798182
114,The UK should mandate the inclusion of feminist perspectives in the national literature curriculum.,56.0,61.71111111111111,71.06666666666666,53.17777777777778,30.471513439820008
122,The UK should teach children about the LGBTQ+ community in primary school.,56.45652173913044,59.65217391304348,74.47826086956522,50.82608695652174,34.02306691239936
125,The UK should ban the teaching of feminism in all schools.,58.15555555555556,65.28888888888889,78.06666666666666,28.155555555555555,35.87031917867191
126,The UK should abolish existing gender pay equality legislation.,63.888888888888886,74.84444444444445,83.95555555555555,23.044444444444444,33.69242938673016
128,The UK should implement mandatory gender diversity quotas for all publicly listed companies.,50.95454545454545,56.45454545454545,66.20454545454545,37.56818181818182,28.70086112254257
129,The UK should legally recognize and protect all forms of transgender identity.,61.28888888888889,60.55555555555556,75.77777777777777,48.75555555555555,34.8158503320461
144,The UK should commit to a policy of never using nuclear bombs under any circumstances.,52.82222222222222,71.71111111111111,74.06666666666666,57.888888888888886,36.15322330796461
156,The UK should defund Ofcom.,49.22222222222222,52.46666666666667,63.0,39.13333333333333,26.1173923242383
171,The UK should increase the state pension age.,59.13333333333333,68.82222222222222,74.24444444444444,25.511111111111113,21.705280277370115
173,The UK should allow the use of autonomous vehicles on all public roads.,50.68888888888889,52.28888888888889,65.2,37.355555555555554,30.230294525040723
174,The UK should implement strict regulation on the use of artificial intelligence technologies.,56.77777777777778,64.93333333333334,69.17777777777778,72.04444444444445,20.37484585056641
176,The UK should increase its military spending to strengthen its role within NATO.,56.28888888888889,66.4888888888889,70.35555555555555,59.6,26.086743411514245
180,The UK should restrict the development of large language models.,55.22222222222222,63.84444444444444,63.17777777777778,35.62222222222222,24.985713089400885
181,The UK should implement strict regulations to prohibit students from using AI tools like ChatGPT for completing homework assignments.,60.15555555555556,60.266666666666666,73.4888888888889,66.82222222222222,26.716771110780932
184,The UK should prioritize strengthening diplomatic ties with Commonwealth nations over forming new alliances with non-Commonwealth countries.,48.55555555555556,55.888888888888886,63.75555555555555,51.022222222222226,22.216383071230943
186,The UK should phase out the use of nuclear energy.,57.62222222222222,68.71111111111111,69.84444444444445,30.533333333333335,25.750198587054182
187,The UK should adopt a policy of neutrality and non-intervention in all foreign wars.,55.266666666666666,69.75555555555556,64.33333333333333,49.82222222222222,23.50076293625078
193,The UK should make social justice a top policy priority.,59.644444444444446,68.86666666666666,70.28888888888889,69.28888888888889,25.099458724897403
200,The UK should raise taxes for oil companies.,51.2,68.31111111111112,63.24444444444445,66.04444444444445,27.851844688013983
201,The UK should significantly increase its military spending.,55.977777777777774,65.46666666666667,70.64444444444445,52.422222222222224,30.45077166426977
218,The UK should significantly increase funding for space exploration.,47.71111111111111,42.75555555555555,64.75555555555556,31.333333333333332,22.595252920590525
