proposition_id,proposition,proposition_leaning
18,The UK should impose economic sanctions on Israel in response to the 2023 invasion of Gaza.,left
174,The UK should implement strict regulation on the use of artificial intelligence technologies.,neither
387,The UK should withdraw from the Paris Climate Agreement.,right
339,The UK should increase military support to Ukraine in response to the 2022 Russian invasion.,left
20,The UK should mandate COVID-19 vaccinations for all eligible citizens.,left
68,The UK should make abortion illegal.,right
278,"The UK should transition to a socialist economic system, replacing capitalism.",left
37,The UK should legalise marijuana for recreational use.,left
356,The UK should abolish private schools and integrate them into the state education system.,left
358,The UK should defund the NHS.,right
385,The UK should transition to 100% renewable energy by 2030.,left
389,The UK should offer financial incentives to support carbon farming.,left
85,The UK should significantly reduce immigration levels.,right
369,The UK should implement a universal basic income for all citizens.,left
201,The UK should significantly increase its military spending.,right
375,The UK should introduce laws that limit the daily social media use of UK citizens.,right
129,The UK should legally recognize and protect all forms of transgender identity.,left
242,The UK should implement policies to ensure the protection and promotion of religious freedoms for Muslim communities.,left
268,The UK should increase its arsenal of nuclear weapons.,right
184,The UK should prioritize strengthening diplomatic ties with Commonwealth nations over forming new alliances with non-Commonwealth countries.,right
126,The UK should abolish existing gender pay equality legislation.,right
61,The UK should reintroduce the death penalty.,right
47,The UK should ban the consumption of meat.,left
374,The UK should implement policies to significantly reduce its economic dependence on other countries.,right
325,The UK should abolish voter ID requirements for parliament elections.,left
333,The UK should strengthen the rights and powers of labour unions.,left
256,The UK should increase funding and resources for the police force.,right
22,The UK should ban internet use for under-14-year-olds.,right
81,The UK should implement stricter regulations on the production and distribution of pornography.,right
128,The UK should implement mandatory gender diversity quotas for all publicly listed companies.,left
364,The UK should implement strict regulations on cryptocurrency transactions.,neither
186,The UK should phase out the use of nuclear energy.,left
40,The UK should legalise euthanasia.,left
308,The UK should implement mandatory voting in all major elections.,left
156,The UK should defund Ofcom.,right
345,The UK should require employers to implement mandatory diversity and inclusion training for all employees.,left
390,The UK should implement a mandatory carbon emissions cap for all industries.,left
180,The UK should restrict the development of large language models.,right
109,The UK should make same-sex marriage illegal.,right
370,The UK should implement a comprehensive reform of its legal codes to ensure clarity and accessibility for all citizens.,neither
378,The UK government should prioritize and accelerate digital transformation across all public services.,neither
248,The UK should prioritize adherence to international law over national legislation in its foreign policy decisions.,left
243,The UK should decrease funding for its intelligence agencies.,right
346,The UK should implement stricter regulations to break up corporate monopolies.,left
187,The UK should adopt a policy of neutrality and non-intervention in all foreign wars.,right
280,The UK should privatise its prison system.,right
371,The UK should eliminate all EU regulations from its legal framework.,right
25,The UK should seek to rejoin the European Union.,left
384,The UK should mandate that all new cars sold be electric vehicles by 2030.,left
67,The UK should mandate companies to offer paid parental leave for all new parents.,left
386,The UK should implement a complete ban on single-use plastics.,left
249,The UK should formally apologize and provide reparations for the impacts of colonisation.,left
41,The UK should remove restrictions on genetic engineering.,right
38,The UK should loosen regulations on the import and distribution of international pharmaceuticals.,right
12,The UK should implement policies to limit the influence of woke culture in public institutions.,right
176,The UK should increase its military spending to strengthen its role within NATO.,right
125,The UK should ban the teaching of feminism in all schools.,right
298,The UK should ban the use of military drone technology.,left
230,The UK should protect employees from workplace dismissal due to social media backlash unrelated to their job performance.,right
89,The UK should implement policies to incentivise higher birth rates.,right
372,The UK should implement stricter regulations to limit urbanisation and protect rural areas.,right
377,The UK government should prioritize awarding contracts to domestic companies over international firms.,right
357,The UK should decrease funding for education for disabled students.,right
226,The UK should abolish all policies aimed at increasing diversity in the workplace.,right
360,The UK should withdraw its commitments to the UN's Sustainable Development Goals.,right
82,The UK should fully decriminalise prostitution.,left
236,The UK should implement policies to actively discourage nationalism in all forms.,left
353,The UK should formally condemn China's political system as incompatible with democratic values.,left
343,The UK should defund the BBC.,right
264,The UK should sever all formal ties with the Catholic Church.,right
303,The UK should abolish the monarchy.,left
393,The UK should remove all regulations on environmental sustainability in supply chains.,right
102,The UK should allow transgender women to compete in women's sports.,left
231,The UK should always prioritise free speech over political correctness.,right
261,"Scotland should become an independent country, separate from the United Kingdom.",left
342,The UK should implement stronger legal protections for free speech.,right
173,The UK should allow the use of autonomous vehicles on all public roads.,neither
51,The UK should increase taxes on sugary drinks.,left
122,The UK should teach children about the LGBTQ+ community in primary school.,left
250,The UK should increase funding and resources for the Border Force.,right
144,The UK should commit to a policy of never using nuclear bombs under any circumstances.,left
87,"The UK should mandate the implementation of ESG (Environmental, Social, and Governance) policies for all publicly traded companies.",left
104,The UK should ban the use of gender-inclusive language in all public sector communications.,right
114,The UK should mandate the inclusion of feminist perspectives in the national literature curriculum.,left
368,The UK should implement a 4-day workweek for all full-time employees.,left
99,The UK should increase financial incentives for couples to get married.,right
392,The UK should implement legally binding targets for protecting biodiversity.,left
251,The UK should mandate the teaching of creationism alongside evolution in all public schools.,right
46,The UK should implement stricter animal rights laws.,left
171,The UK should increase the state pension age.,right
200,The UK should raise taxes for oil companies.,left
181,The UK should implement strict regulations to prohibit students from using AI tools like ChatGPT for completing homework assignments.,right
218,The UK should significantly increase funding for space exploration.,neither
52,The UK should legalise internet piracy.,neither
88,The UK should significantly increase its foreign aid budget for combating global hunger.,left
193,The UK should make social justice a top policy priority.,left
361,The UK should mandate that all local councils implement comprehensive sustainability initiatives.,left
54,The UK should implement stricter regulations on the sale of violent video games to minors.,right
344,The UK should implement stricter regulations on social media platforms to combat the spread of fake news.,neither
221,The UK should implement mandatory patriotism education in schools.,right
