attribute_x,attribute_y,n,correlation,p_value,label_x,label_y,label_text
writer_knowledge,writer_knowledge,90145,1,0,writer_knowledge,writer_knowledge,1.00
writer_knowledge,writer_importance,90145,0.6145173879191954,0,writer_knowledge,writer_importance,0.61
writer_knowledge,writer_confidence,90145,0.5569081232942842,0,writer_knowledge,writer_confidence,0.56
writer_knowledge,writer_stance_polarity,90145,0.27918181924114704,0,writer_knowledge,writer_stance_polarity,0.28
writer_knowledge,paragraph_formality,90145,0.5871813296224178,0,writer_knowledge,paragraph_formality,0.59
writer_knowledge,paragraph_clarity,90145,0.5675224630452627,0,writer_knowledge,paragraph_clarity,0.57
writer_knowledge,paragraph_informativeness,90145,0.7316456829825199,0,writer_knowledge,paragraph_informativeness,0.73
writer_knowledge,paragraph_originality,90145,0.48094880754388425,0,writer_knowledge,paragraph_originality,0.48
writer_knowledge,paragraph_relevance,90145,0.5771090485677294,0,writer_knowledge,paragraph_relevance,0.58
writer_knowledge,writer_optimism,90145,0.3348549723504231,0,writer_knowledge,writer_optimism,0.33
writer_knowledge,writer_community,90145,0.4027307665712088,0,writer_knowledge,writer_community,0.40
writer_knowledge,writer_friendliness,90145,0.292684544950862,0,writer_knowledge,writer_friendliness,0.29
writer_knowledge,writer_openness,90145,-0.07430552206093292,1.5042310333440333e-110,writer_knowledge,writer_openness,-0.07
writer_knowledge,paragraph_hope,90145,0.3134527725250493,0,writer_knowledge,paragraph_hope,0.31
writer_knowledge,paragraph_excitement,90145,0.18838741892632158,0,writer_knowledge,paragraph_excitement,0.19
writer_knowledge,paragraph_fear,90145,0.021433098301256264,1.2285941651821762e-10,writer_knowledge,paragraph_fear,0.02
writer_knowledge,paragraph_disgust,90145,-0.046008325840003805,1.910985546213857e-43,writer_knowledge,paragraph_disgust,-0.05
writer_knowledge,paragraph_anger,90145,-0.020251056235214795,1.1962309398934916e-9,writer_knowledge,paragraph_anger,-0.02
writer_knowledge,writer_affect_x,90145,0.11148191995200933,3.791317834814403e-247,writer_knowledge,writer_affect_x,0.11
writer_knowledge,writer_affect_y,90145,-0.17266442340284346,0,writer_knowledge,writer_affect_y,-0.17
writer_importance,writer_knowledge,90145,0.6145173879191954,0,writer_importance,writer_knowledge,0.61
writer_importance,writer_importance,90145,1,0,writer_importance,writer_importance,1.00
writer_importance,writer_confidence,90145,0.6540994750423859,0,writer_importance,writer_confidence,0.65
writer_importance,writer_stance_polarity,90145,0.4705553261476519,0,writer_importance,writer_stance_polarity,0.47
writer_importance,paragraph_formality,90145,0.38626492377635735,0,writer_importance,paragraph_formality,0.39
writer_importance,paragraph_clarity,90145,0.6048246262825427,0,writer_importance,paragraph_clarity,0.60
writer_importance,paragraph_informativeness,90145,0.47284836344587616,0,writer_importance,paragraph_informativeness,0.47
writer_importance,paragraph_originality,90145,0.29227939187454793,0,writer_importance,paragraph_originality,0.29
writer_importance,paragraph_relevance,90145,0.5200218414802558,0,writer_importance,paragraph_relevance,0.52
writer_importance,writer_optimism,90145,0.1600967351743818,0,writer_importance,writer_optimism,0.16
writer_importance,writer_community,90145,0.3037321197646142,0,writer_importance,writer_community,0.30
writer_importance,writer_friendliness,90145,0.09796999834208588,4.4556863945945165e-191,writer_importance,writer_friendliness,0.10
writer_importance,writer_openness,90145,-0.2893537199664001,0,writer_importance,writer_openness,-0.29
writer_importance,paragraph_hope,90145,0.18394587663213757,0,writer_importance,paragraph_hope,0.18
writer_importance,paragraph_excitement,90145,0.1506889566807081,0,writer_importance,paragraph_excitement,0.15
writer_importance,paragraph_fear,90145,0.1852649217041585,0,writer_importance,paragraph_fear,0.19
writer_importance,paragraph_disgust,90145,0.15804529685170982,0,writer_importance,paragraph_disgust,0.16
writer_importance,paragraph_anger,90145,0.21011271168614173,0,writer_importance,paragraph_anger,0.21
writer_importance,writer_affect_x,90145,-0.08674258537725733,4.428421563328118e-150,writer_importance,writer_affect_x,-0.09
writer_importance,writer_affect_y,90145,-0.31086324057301584,0,writer_importance,writer_affect_y,-0.31
writer_confidence,writer_knowledge,90145,0.5569081232942842,0,writer_confidence,writer_knowledge,0.56
writer_confidence,writer_importance,90145,0.6540994750423859,0,writer_confidence,writer_importance,0.65
writer_confidence,writer_confidence,90145,1,0,writer_confidence,writer_confidence,1.00
writer_confidence,writer_stance_polarity,90145,0.5932851193594234,0,writer_confidence,writer_stance_polarity,0.59
writer_confidence,paragraph_formality,90145,0.35419481153007343,0,writer_confidence,paragraph_formality,0.35
writer_confidence,paragraph_clarity,90145,0.679537083019951,0,writer_confidence,paragraph_clarity,0.68
writer_confidence,paragraph_informativeness,90145,0.3714376927318874,0,writer_confidence,paragraph_informativeness,0.37
writer_confidence,paragraph_originality,90145,0.19577430242715527,0,writer_confidence,paragraph_originality,0.20
writer_confidence,paragraph_relevance,90145,0.5018606030481785,0,writer_confidence,paragraph_relevance,0.50
writer_confidence,writer_optimism,90145,0.11709173011757561,1.3362313529732844e-272,writer_confidence,writer_optimism,0.12
