split,analysis_group,attribute,in_summary,passes_check,status_note
unedited,scale,paragraph_formality,True,True,
unedited,scale,paragraph_clarity,True,True,
unedited,scale,paragraph_informativeness,True,True,
unedited,scale,paragraph_originality,True,True,
unedited,scale,paragraph_relevance,True,True,
unedited,scale,writer_knowledge,True,True,
unedited,scale,writer_importance,True,True,
unedited,scale,writer_confidence,True,True,
unedited,scale,writer_stance_polarity,True,True,
unedited,scale,paragraph_hope,True,True,
unedited,scale,paragraph_excitement,True,True,
unedited,scale,paragraph_fear,True,False,"non-significant coefficient(s): model_anthropic/claude-sonnet-4; mixed AME directions: model_anthropic/claude-sonnet-4=positive, model_deepseek/deepseek-chat-v3-0324=negative, model_openai/chatgpt-4o-latest=negative"
unedited,scale,paragraph_disgust,True,True,
unedited,scale,paragraph_anger,True,True,
unedited,scale,writer_affect_x,True,True,
unedited,scale,writer_affect_y,True,True,
unedited,scale,writer_optimism,True,True,
unedited,scale,writer_community,True,True,
unedited,scale,writer_friendliness,True,True,
unedited,scale,writer_openness,True,False,"non-significant coefficient(s): model_deepseek/deepseek-chat-v3-0324, model_openai/chatgpt-4o-latest"
unedited,ordinal,writer_english_first,True,True,
unedited,ordinal,writer_education,True,True,
unedited,ordinal,writer_english_skills,True,True,
unedited,ordinal,writer_income,True,True,
unedited,ordinal,writer_age_binned,True,True,
