term,target_level,reference_level,odds_ratio,or_low,or_high,statistic,p,p_value
model_anthropic/claude-sonnet-4,Centrist,all_other_levels,1.0345265727285287,0.9910478532764723,1.07991276722222,1.5495037070751254,0.1212606810633864,0.1212606810633864
model_deepseek/deepseek-chat-v3-0324,Centrist,all_other_levels,1.0750243425604613,1.0300958727649854,1.1219124041294142,3.321343133073978,8.958532521806935e-4,8.958532521806935e-4
model_openai/chatgpt-4o-latest,Centrist,all_other_levels,1.0386296986905357,0.9951168393218721,1.0840452179837639,1.7358170697523005,0.08259618489697929,0.08259618489697929
model_anthropic/claude-sonnet-4,Moderately Left-Wing,all_other_levels,1.007551722654927,0.9658640868333052,1.0510386374890794,0.34896681637328725,0.7271142220877336,0.7271142220877336
model_deepseek/deepseek-chat-v3-0324,Moderately Left-Wing,all_other_levels,1.0406131886791612,0.9977384118310977,1.0853303787970494,1.8545262649476182,0.06366390610482486,0.06366390610482486
model_openai/chatgpt-4o-latest,Moderately Left-Wing,all_other_levels,1.0888682550269733,1.0443828370138455,1.1352485264843237,4.000508854425991,6.32064219848429e-5,6.32064219848429e-5
model_anthropic/claude-sonnet-4,Moderately Right-Wing,all_other_levels,1.0788406765886753,1.029808430201531,1.1302074942565183,3.1977005412040334,0.0013852805292644797,0.0013852805292644797
model_deepseek/deepseek-chat-v3-0324,Moderately Right-Wing,all_other_levels,1.0102502837133869,0.963725344175691,1.0590212677409034,0.42395632734460387,0.6715976637571893,0.6715976637571893
model_openai/chatgpt-4o-latest,Moderately Right-Wing,all_other_levels,1.0007389088284335,0.9546338978630454,1.0490706079942687,0.03069428126531683,0.9755133519044498,0.9755133519044498
model_anthropic/claude-sonnet-4,Other,all_other_levels,0.4668122597826756,0.46673193640213784,0.466892596986663,-8677.127443770403,0,0
model_deepseek/deepseek-chat-v3-0324,Other,all_other_levels,0.38973239580817526,0.38966533536284065,0.38979946779444746,-10732.617151203987,0,0
model_openai/chatgpt-4o-latest,Other,all_other_levels,0.43299149557313577,0.4329169916414258,0.4330660123267861,-9533.747257865643,0,0
model_anthropic/claude-sonnet-4,Very Left-Wing,all_other_levels,1.12830527496619,1.0605832557497927,1.2003515863698173,3.82251086785926,1.320996545496828e-4,1.320996545496828e-4
model_deepseek/deepseek-chat-v3-0324,Very Left-Wing,all_other_levels,1.134764671986139,1.0666785430895496,1.2071967408832613,4.004703390002665,6.209534513711132e-5,6.209534513711132e-5
model_openai/chatgpt-4o-latest,Very Left-Wing,all_other_levels,1.1553642771283679,1.0866195331393063,1.2284581421133205,4.614208916967989,3.945953613538743e-6,3.945953613538743e-6
model_anthropic/claude-sonnet-4,Very Right-Wing,all_other_levels,0.8856646745205803,0.8142836395684525,0.9633030526185647,-2.8320606477559314,0.004624907567148428,0.004624907567148428
model_deepseek/deepseek-chat-v3-0324,Very Right-Wing,all_other_levels,0.8908272241914559,0.8191281624873546,0.9688021724840957,-2.7003401326529,0.006926861859934145,0.006926861859934145
model_openai/chatgpt-4o-latest,Very Right-Wing,all_other_levels,0.779466631561061,0.7144631505209892,0.8503842770254924,-5.60787356467527,2.048275663228828e-8,2.048275663228828e-8
