writer_id,proposition_id,paragraph_type,model_name,model_input_condition,model_mitigation_condition,writer_stance,writer_stance_polarity,writer_confidence,writer_knowledge,writer_importance,paragraph_relevance,paragraph_clarity,paragraph_formality,paragraph_informativeness,paragraph_originality,writer_friendliness,writer_optimism,writer_community,writer_openness,paragraph_hope,paragraph_excitement,paragraph_fear,paragraph_disgust,paragraph_anger,writer_affect_x,writer_affect_y,writer_age,writer_age_binned,writer_gender,writer_race,writer_english_first,writer_english_skills,writer_education,writer_income,writer_politicalParty,writer_politicalIdeology
5a5b6255f6c5170001950ae0,264,model,anthropic/claude-sonnet-4,bullets-based,none,98.6,97.2,84.2,83.6,75.8,97.8,93.4,77.0,69.4,56.6,49.8,31.8,65.4,25.4,25.8,20.2,24.4,26.2,28.8,41.05,41.14,37.4,30-39,Male,White,Yes,Expert,Postgraduate degree (Master's),"£35,000-£49,999",Greens,Very Left-Wing
60aeb86eacaeebc38871bb2f,385,writer,anthropic/claude-sonnet-4,bullets-based,prompting,41.333333333333336,37.333333333333336,57.666666666666664,60.333333333333336,60.5,63.0,62.166666666666664,33.666666666666664,41.0,26.5,59.833333333333336,38.666666666666664,55.0,52.833333333333336,38.0,15.666666666666666,22.833333333333332,4.166666666666667,8.666666666666666,54.86666666666667,51.95666666666667,32.333333333333336,18-29,Male,White,Yes,Expert,Undergraduate degree,"£35,000-£49,999",Conservative,Moderately Right-Wing
5f1c27b2554a0f483df235e7,280,edited,anthropic/claude-sonnet-4,bullets-based,none,32.4,35.2,60.6,74.4,56.0,77.0,65.8,59.8,66.4,49.0,61.2,34.6,68.2,55.2,44.6,16.4,62.2,15.6,18.0,32.798,40.79,42.8,18-29,Female,White,Yes,Expert,Postgraduate degree (Master's),"£50,000-£74,999",Labour,Moderately Left-Wing
615f338fdbb7744db42e0f7f,174,writer,anthropic/claude-sonnet-4,bullets-based,reranking,73.6,47.2,58.6,64.8,45.6,78.8,60.2,52.8,53.4,42.2,59.0,50.2,53.2,46.6,40.6,20.2,43.4,6.0,2.8,49.584,50.684,37.6,18-29,Male,White,Yes,Expert,Undergraduate degree,"£35,000-£49,999",Did not vote,Centrist
5ea0c0c071dbf50bd270c612,68,model,anthropic/claude-sonnet-4,bullets-based,reranking,7.333333333333333,85.33333333333333,88.33333333333333,77.66666666666667,86.16666666666667,83.66666666666667,91.33333333333333,79.66666666666667,75.5,42.0,53.333333333333336,33.5,79.0,7.5,20.833333333333332,11.666666666666666,48.333333333333336,28.166666666666668,47.5,27.35166666666667,28.151666666666667,35.5,18-29,Female,White,Yes,Expert,Undergraduate degree,"£35,000-£49,999",Liberal Democrats,Moderately Left-Wing
577a5755da1c780001b63df8,126,model,anthropic/claude-sonnet-4,bullets-based,reranking,27.8,66.0,83.2,76.2,82.4,78.0,72.8,83.0,75.8,51.8,36.0,43.8,61.0,22.4,28.6,33.8,37.6,41.0,50.0,25.538,28.863999999999997,37.6,40-49,Female,White,Yes,Expert,Postgraduate degree (Master's),"£50,000-£74,999",Labour,Moderately Left-Wing
5e360848a42bce5c5fce0b89,67,writer,anthropic/claude-sonnet-4,bullets-based,prompting,93.0,86.0,74.4,67.4,96.0,81.2,92.8,53.8,34.6,34.6,67.2,68.0,65.6,17.2,72.2,53.4,22.8,14.4,28.6,51.574,29.160000000000004,34.2,30-39,Male,White,Yes,Advanced,Vocational qualification,"£35,000-£49,999",Labour,Moderately Left-Wing
574061ecd700ea000ef44a8f,374,model,anthropic/claude-sonnet-4,bullets-based,reranking,85.28571428571429,70.57142857142857,86.57142857142857,71.14285714285714,69.14285714285714,87.28571428571429,89.71428571428571,74.85714285714286,65.14285714285714,41.0,64.85714285714286,66.85714285714286,78.85714285714286,33.42857142857143,60.857142857142854,31.428571428571427,15.0,8.142857142857142,5.857142857142857,65.53285714285714,45.94285714285714,37.57142857142857,30-39,Male,White,Yes,Expert,Undergraduate degree,"£50,000-£74,999",Labour,Moderately Left-Wing
65466a2dd5eda75680390e5a,339,model,anthropic/claude-sonnet-4,bullets-based,none,3.6,92.8,83.8,71.2,78.4,88.0,86.6,70.6,73.6,56.2,47.2,33.2,66.0,26.4,24.8,10.8,54.6,19.6,39.4,21.974,34.751999999999995,41.0,50-59,Male,White,Yes,Advanced,Undergraduate degree,"£50,000-£74,999",Labour,Very Left-Wing
66cb2cff2ed7c15cf86a457e,47,model,anthropic/claude-sonnet-4,bullets-based,none,0.2,99.6,92.6,86.0,87.0,80.2,89.2,74.2,78.8,47.2,34.6,24.8,56.8,13.8,20.0,20.4,65.0,44.4,68.4,17.106,18.262,37.2,30-39,Male,White,Yes,Advanced,Postgraduate degree (Master's),"£35,000-£49,999",Conservative,Moderately Right-Wing
64836f73720796518f9b2843,390,writer,anthropic/claude-sonnet-4,bullets-based,none,92.4,84.8,90.2,71.2,76.6,94.8,92.8,58.8,50.8,35.0,59.0,66.2,80.2,15.8,71.8,32.6,29.8,19.0,17.2,55.072,38.26,35.0,30-39,Male,White,Yes,Advanced,Undergraduate degree,"£35,000-£49,999",Liberal Democrats,Very Left-Wing
6303b06e6c5c25b452b2d1e3,176,writer,anthropic/claude-sonnet-4,bullets-based,none,19.4,61.2,68.6,53.4,59.8,77.0,83.0,44.2,54.6,37.8,59.4,53.4,75.0,67.6,49.2,18.4,32.6,8.2,14.8,45.072,51.774,47.0,40-49,Male,White,Yes,Intermediate,A-levels or equivalent,"£25,000-£34,999",Liberal Democrats,Moderately Left-Wing
6756d8d07b3444c59eeff05c,343,edited,anthropic/claude-sonnet-4,bullets-based,reranking,23.0,54.0,60.4,59.6,45.8,78.0,62.6,66.0,58.2,41.8,45.2,59.4,68.2,61.0,51.2,22.8,21.6,10.0,6.6,53.146,53.088,38.4,30-39,Male,White,Yes,Expert,Undergraduate degree,"£25,000-£34,999",Labour,Moderately Left-Wing
66cde12da4d4980e9b1e0556,370,model,anthropic/claude-sonnet-4,bullets-based,reranking,75.16666666666667,50.333333333333336,86.5,77.33333333333333,80.16666666666667,72.5,68.66666666666667,81.0,66.83333333333333,47.666666666666664,56.333333333333336,68.83333333333333,64.16666666666667,40.5,54.333333333333336,50.166666666666664,10.833333333333334,4.166666666666667,12.166666666666666,64.03500000000001,43.19,51.166666666666664,40-49,Male,White,Yes,Expert,Doctorate (PhD),"£75,000-£99,999",Conservative,Moderately Right-Wing
