split,analysis_group,attribute,in_summary,passes_check,status_note
edited,scale,paragraph_formality,True,True,
edited,scale,paragraph_clarity,True,True,
edited,scale,paragraph_informativeness,True,True,
edited,scale,paragraph_originality,True,True,
edited,scale,paragraph_relevance,True,True,
edited,scale,writer_knowledge,True,True,
edited,scale,writer_importance,True,True,
edited,scale,writer_confidence,True,True,
edited,scale,writer_stance_polarity,True,True,
edited,scale,paragraph_hope,True,True,
edited,scale,paragraph_excitement,True,True,
edited,scale,paragraph_fear,True,False,non-significant coefficient(s): model_anthropic/claude-sonnet-4
edited,scale,paragraph_disgust,True,True,
edited,scale,paragraph_anger,True,True,
edited,scale,writer_affect_x,True,True,
edited,scale,writer_affect_y,True,True,
edited,scale,writer_optimism,True,True,
edited,scale,writer_community,True,True,
edited,scale,writer_friendliness,True,True,
edited,scale,writer_openness,True,False,"non-significant coefficient(s): model_deepseek/deepseek-chat-v3-0324, model_openai/chatgpt-4o-latest"
edited,ordinal,writer_english_first,True,True,
edited,ordinal,writer_education,False,False,Missing regression results: /Users/paul/Documents/Repos/ai-distortion/results/main_phase_2_distortion/edited/writer_education_by_model.csv
edited,ordinal,writer_english_skills,True,True,
edited,ordinal,writer_income,True,True,
edited,ordinal,writer_age_binned,False,False,Missing regression results: /Users/paul/Documents/Repos/ai-distortion/results/main_phase_2_distortion/edited/writer_age_binned_by_model.csv
