split,analysis_group,attribute,in_summary,passes_check,status_note
preferred,scale,paragraph_formality,True,True,
preferred,scale,paragraph_clarity,True,True,
preferred,scale,paragraph_informativeness,True,True,
preferred,scale,paragraph_originality,True,True,
preferred,scale,paragraph_relevance,True,True,
preferred,scale,writer_knowledge,True,True,
preferred,scale,writer_importance,True,True,
preferred,scale,writer_confidence,True,True,
preferred,scale,writer_stance_polarity,True,True,
preferred,scale,paragraph_hope,True,True,
preferred,scale,paragraph_excitement,True,True,
preferred,scale,paragraph_fear,True,False,"non-significant coefficient(s): model_anthropic/claude-sonnet-4; mixed AME directions: model_anthropic/claude-sonnet-4=positive, model_deepseek/deepseek-chat-v3-0324=negative, model_openai/chatgpt-4o-latest=negative"
preferred,scale,paragraph_disgust,True,True,
preferred,scale,paragraph_anger,True,True,
preferred,scale,writer_affect_x,True,True,
preferred,scale,writer_affect_y,True,True,
preferred,scale,writer_optimism,True,True,
preferred,scale,writer_community,True,True,
preferred,scale,writer_friendliness,True,True,
preferred,scale,writer_openness,True,False,"non-significant coefficient(s): model_deepseek/deepseek-chat-v3-0324, model_openai/chatgpt-4o-latest"
preferred,ordinal,writer_english_first,True,True,
preferred,ordinal,writer_education,True,True,
preferred,ordinal,writer_english_skills,True,True,
preferred,ordinal,writer_income,True,True,
preferred,ordinal,writer_age_binned,True,True,
